time_us,gps_sec,raw1,raw2,raw3,raw4,raw5,raw6,vl53_mm,pitot_pa,air_speed,ultrason_mm,accX,accY,accZ,gyroX,gyroY,gyroZ,roll,pitch,yaw,lat,lon,gps_valid
103057416,0,221,221,143,206,219,199,159,-8.50,-3.73,117.13,0.05,-0.16,1.01,-0.55,0.37,-0.12,-9.00,-2.83,-0.47,,,0
103187936,0,218,218,141,207,217,196,158,-0.08,-0.37,113.56,0.05,-0.16,1.01,-0.61,-0.43,-0.31,-9.07,-2.85,-0.47,,,0
103287936,0,221,222,145,200,222,200,158,-19.02,-5.57,122.06,0.05,-0.16,1.01,-0.79,0.49,-0.43,-9.15,-2.85,-0.47,,,0
103387944,0,224,225,151,184,228,205,157,-20.07,-5.72,125.63,0.05,-0.16,1.01,-1.10,-0.12,-1.46,-9.21,-2.82,-0.53,,,0
103487936,0,228,229,152,188,228,208,154,2.02,1.82,143.48,0.05,-0.17,1.01,-1.65,0.98,-2.69,-9.37,-2.81,-0.74,,,0
103587936,0,229,230,152,199,230,208,156,-5.34,-2.95,224.57,0.05,-0.16,1.01,-1.22,-0.37,-4.09,-9.47,-2.80,-1.09,,,0
103687940,0,226,227,149,215,227,205,156,-11.66,-4.36,272.00,0.05,-0.17,1.01,-0.18,0.12,-5.74,-9.54,-2.92,-1.55,,,0
103787936,0,230,230,152,249,230,209,155,-16.92,-5.26,126.65,0.05,-0.17,1.01,-0.49,2.32,-6.59,-9.55,-2.88,-2.19,,,0
103887944,0,228,228,150,265,226,206,159,-15.87,-5.09,124.10,0.04,-0.16,1.01,0.92,3.11,-8.18,-9.46,-2.72,-2.96,,,0
103987948,0,228,229,151,258,228,207,154,-2.19,-1.89,127.84,0.03,-0.17,1.01,-1.77,1.89,-10.31,-9.43,-2.57,-3.92,,,0
104087944,0,226,225,148,242,225,204,154,-0.08,-0.37,148.24,0.04,-0.16,1.01,-3.48,1.34,-11.41,-9.64,-2.55,-5.02,,,0
104187944,0,221,221,143,229,220,199,149,3.07,2.24,135.66,0.02,-0.17,1.01,-2.99,3.60,-11.66,-9.82,-2.46,-6.20,,,0
104287944,0,215,215,138,219,214,194,156,3.07,2.24,488.58,0.02,-0.16,1.01,-2.50,1.77,-11.78,-9.92,-2.26,-7.42,,,0
104387944,0,213,213,136,213,212,191,156,3.07,2.24,484.67,0.03,-0.17,1.01,-1.71,-2.87,-9.58,-10.09,-2.41,-8.46,,,0
104487940,0,213,213,136,212,213,192,155,2.02,1.82,159.12,0.04,-0.17,1.00,-0.55,-4.46,-6.35,-10.07,-2.86,-9.18,,,0
